#level  ϵ_exact  ϵₕ[au]  ΔxH[au]
1  0.5  0.5000646080817728  2.5
2  1.5  1.9359676610899652  2.5
3  2.5  3.464627830277588  2.5
4  3.5  5.068238491298226  2.5
5  4.5  7.73761032999383  2.5
6  5.5  10.871268095140044  2.5
7  6.5  13.448381851114698  2.5
8  7.5  16.55164636755587  2.5
9  8.5  21.190674906154406  2.5
10  9.5  25.904525037203914  2.5
11  10.5  29.661335067675115  2.5
12  11.5  34.30802712262109  2.5
13  12.5  40.879649044085  2.5
14  13.5  47.16839535505803  2.5
15  14.5  52.12779146064408  2.5
16  15.5  58.327331519693836  2.5
17  16.5  66.82257706671116  2.5
18  17.5  74.68277457044691  2.5
19  18.5  80.85482185164597  2.5
20  19.5  88.61550858396456  2.5
1  0.5  0.5047792777898594  1.25
2  1.5  1.5379817603045507  1.25
3  2.5  2.5885586682482264  1.25
4  3.5  3.787107274653404  1.25
5  4.5  4.927675737487369  1.25
6  5.5  6.219932163681911  1.25
7  6.5  7.747560794713506  1.25
8  7.5  9.041019914801563  1.25
9  8.5  10.58434677690363  1.25
10  9.5  12.476560221980526  1.25
11  10.5  14.095843813817732  1.25
12  11.5  15.73179006548881  1.25
13  12.5  17.912404397549995  1.25
14  13.5  20.089241780303325  1.25
15  14.5  21.895793824194218  1.25
16  15.5  24.05693204713048  1.25
17  16.5  26.765860790885675  1.25
18  17.5  29.154786554078783  1.25
19  18.5  31.25501096771898  1.25
20  19.5  33.98205173951782  1.25
1  0.5  0.5011523939781508  0.8333333333333333
2  1.5  1.5076746964669376  0.8333333333333333
3  2.5  2.525943357275864  0.8333333333333333
4  3.5  3.5622982347339818  0.8333333333333333
5  4.5  4.619189375773726  0.8333333333333333
6  5.5  5.7090506803682  0.8333333333333333
7  6.5  6.807232447966126  0.8333333333333333
8  7.5  7.981888736036634  0.8333333333333333
9  8.5  9.1171173113173  0.8333333333333333
10  9.5  10.360713913282723  0.8333333333333333
11  10.5  11.624481859756651  0.8333333333333333
12  11.5  12.825951706467858  0.8333333333333333
13  12.5  14.257840742549348  0.8333333333333333
14  13.5  15.5802539981951  0.8333333333333333
15  14.5  16.89506346461757  0.8333333333333333
16  15.5  18.465085414099782  0.8333333333333333
17  16.5  19.924111643997783  0.8333333333333333
18  17.5  21.316585629798414  0.8333333333333333
19  18.5  22.99396899141861  0.8333333333333333
20  19.5  24.658343028996665  0.8333333333333333
1  0.5  0.5003785556134781  0.625
2  1.5  1.502571412349063  0.625
3  2.5  2.5088947834254784  0.625
4  3.5  3.521687868060301  0.625
5  4.5  4.542961448033469  0.625
6  5.5  5.574454233933758  0.625
7  6.5  6.617658096380231  0.625
8  7.5  7.673957378657095  0.625
9  8.5  8.744169289814717  0.625
10  9.5  9.83052406741221  0.625
11  10.5  10.929982105956414  0.625
12  11.5  12.054007065046054  0.625
13  12.5  13.17846579594481  0.625
14  13.5  14.352777959487923  0.625
15  14.5  15.498282777223658  0.625
16  15.5  16.716813659333845  0.625
17  16.5  17.91981308688058  0.625
18  17.5  19.124618236299366  0.625
19  18.5  20.440717135937938  0.625
20  19.5  21.64214152931355  0.625
1  0.5  0.5001577759393274  0.5
2  1.5  1.50108278921654  0.5
3  2.5  2.5037861923443945  0.5
4  3.5  3.5093336215372277  0.5
5  4.5  4.51869009472295  0.5
6  5.5  5.53273119836236  0.5
7  6.5  6.55225284842293  0.5
8  7.5  7.577979830529689  0.5
9  8.5  8.610573279417201  0.5
10  9.5  9.650637322217335  0.5
11  10.5  10.698724508457351  0.5
12  11.5  11.755342887540492  0.5
13  12.5  12.820951244455266  0.5
14  13.5  13.89600250476922  0.5
15  14.5  14.980796922003114  0.5
16  15.5  16.07600281390705  0.5
17  16.5  17.18104755907213  0.5
18  17.5  18.2986629118453  0.5
19  18.5  19.423296477902287  0.5
20  19.5  20.567840611391183  0.5
1  0.5  0.5000768122916015  0.41666666666666663
2  1.5  1.500530232874226  0.41666666666666663
3  2.5  2.501865570852277  0.41666666666666663
4  3.5  3.504628299936675  0.41666666666666663
5  4.5  4.509327081712913  0.41666666666666663
6  5.5  5.516436706943232  0.41666666666666663
7  6.5  6.526400766223885  0.41666666666666663
8  7.5  7.539634078080143  0.41666666666666663
9  8.5  8.556524899343518  0.41666666666666663
10  9.5  9.577436939824457  0.41666666666666663
11  10.5  10.602711200816882  0.41666666666666663
12  11.5  11.632667654800082  0.41666666666666663
13  12.5  12.667606781769397  0.41666666666666663
14  13.5  13.70781097611559  0.41666666666666663
15  14.5  14.753545835396013  0.41666666666666663
16  15.5  15.805061347334181  0.41666666666666663
17  16.5  16.86259295663347  0.41666666666666663
18  17.5  17.926362656910364  0.41666666666666663
19  18.5  18.996579503739873  0.41666666666666663
20  19.5  20.073442096929924  0.41666666666666663
1  0.5  0.5000416993954704  0.3571428571428571
2  1.5  1.5002888895180702  0.3571428571428571
3  2.5  2.501020342453536  0.3571428571428571
4  3.5  3.502541471078481  0.3571428571428571
5  4.5  4.505142272294219  0.3571428571428571
6  5.5  5.509098251435024  0.3571428571428571
7  6.5  6.514671282638706  0.3571428571428571
8  7.5  7.522110410199236  0.3571428571428571
9  8.5  8.531652595482816  0.3571428571428571
10  9.5  9.543523413591684  0.3571428571428571
11  10.5  10.557937703602445  0.3571428571428571
12  11.5  11.575100175879689  0.3571428571428571
13  12.5  12.595205979671757  0.3571428571428571
14  13.5  13.61844123392841  0.3571428571428571
15  14.5  14.644983524036341  0.3571428571428571
16  15.5  15.6750023669488  0.3571428571428571
17  16.5  16.7086596469835  0.3571428571428571
