#level  ϵ_exact  ϵₕ[au]  ΔxH[au]
1  4.12049  3.4125857496738314  2.5
2  3.70914  4.861573802770541  2.5
3  4.54553  5.02169037771292  2.5
1  4.12049  4.033954303493813  1.25
2  3.70914  3.4528571932310306  1.25
3  4.54553  4.681717116596823  1.25
1  4.12049  3.9194371720292867  0.8333333333333333
2  3.70914  4.399868373208435  0.8333333333333333
3  4.54553  3.469532130360795  0.8333333333333333
1  4.12049  4.215579285459979  0.625
2  3.70914  3.7802767724202884  0.625
3  4.54553  3.3676186728320765  0.625
1  4.12049  4.161222483433442  0.5
2  3.70914  3.739501269547318  0.5
3  4.54553  4.598129458029963  0.5
1  4.12049  4.140694143922746  0.41666666666666663
2  3.70914  3.7241625045672286  0.41666666666666663
3  4.54553  4.571707166371678  0.41666666666666663
1  4.12049  4.131599838964495  0.3571428571428571
2  3.70914  3.717385811706905  0.3571428571428571
3  4.54553  4.559951083243574  0.3571428571428571
1  4.12049  4.127086554954031  0.3125
2  3.70914  3.7140292178811887  0.3125
3  4.54553  4.554101449004545  0.3125
1  4.12049  4.1246468288736295  0.2777777777777778
2  3.70914  3.7122173027281415  0.2777777777777778
3  4.54553  4.550933777475917  0.2777777777777778
1  4.12049  4.1232368112361755  0.25
2  3.70914  3.711171209691529  0.25
3  4.54553  4.5491007804433226  0.25
1  4.12049  4.122376889434813  0.2272727272727273
2  3.70914  3.7105337342812046  0.2272727272727273
3  4.54553  4.547981881823313  0.2272727272727273
1  4.12049  4.121828756122231  0.20833333333333331
2  3.70914  3.710127639760892  0.20833333333333331
3  4.54553  4.547268181232706  0.20833333333333331
1  4.12049  4.121466205328896  0.19230769230769232
2  3.70914  3.709859165572619  0.19230769230769232
3  4.54553  4.546795868739555  0.19230769230769232
1  4.12049  4.121218759467351  0.17857142857142855
2  3.70914  3.7096759981566665  0.17857142857142855
3  4.54553  4.546473373741837  0.17857142857142855
1  4.12049  4.1210452575902625  0.16666666666666666
2  3.70914  3.7095476061839863  0.16666666666666666
3  4.54553  4.546247173343183  0.16666666666666666
1  4.12049  4.120920719690481  0.15625
2  3.70914  3.7094554711303838  0.15625
3  4.54553  4.546084764338445  0.15625
1  4.12049  4.1208294730053225  0.14705882352941177
2  3.70914  3.7093879796782128  0.14705882352941177
3  4.54553  4.545965743152371  0.14705882352941177
1  4.12049  4.120761393879177  0.1388888888888889
2  3.70914  3.709337633247617  0.1388888888888889
3  4.54553  4.545876924631669  0.1388888888888889
1  4.12049  4.120709772953054  0.13157894736842105
2  3.70914  3.709299463851215  0.13157894736842105
3  4.54553  4.54580956729848  0.13157894736842105
1  4.12049  4.120670060995117  0.125
2  3.70914  3.7092701039165856  0.125
3  4.54553  4.545757742263821  0.125
1  4.12049  4.120639109781259  0.11904761904761904
2  3.70914  3.7092472235226723  0.11904761904761904
3  4.54553  4.545717345477096  0.11904761904761904
1  4.12049  4.120614700207966  0.11363636363636365
2  3.70914  3.709229180702906  0.11363636363636365
3  4.54553  4.5456854834586125  0.11363636363636365
1  4.12049  4.12059524184681  0.10869565217391304
2  3.70914  3.7092147988712827  0.10869565217391304
3  4.54553  4.545660082059802  0.10869565217391304
1  4.12049  4.120579577468938  0.10416666666666666
2  3.70914  3.709203222052082  0.10416666666666666
3  4.54553  4.545639631836629  0.10416666666666666
1  4.12049  4.120566853340519  0.1
2  3.70914  3.709193818843827  0.1
3  4.54553  4.545623019050443  0.1
1  4.12049  4.120556431603118  0.09615384615384616
2  3.70914  3.70918611755817  0.09615384615384616
3  4.54553  4.545609411476475  0.09615384615384616
