#level  ϵ_exact  ϵₕ[au]  ΔxH[au]
1  -4.98841  -4.9884073704149285  2.5
2  -4.95364  -4.95359481374866  2.5
3  -4.89569  -4.895246592337167  2.5
1  -4.98841  -4.988407979334277  1.25
2  -4.95364  -4.953632794549445  1.25
3  -4.89569  -4.89566287845345  1.25
1  -4.98841  -4.98840801212127  0.8333333333333333
2  -4.95364  -4.95363487714148  0.8333333333333333
3  -4.89569  -4.895686311719756  0.8333333333333333
1  -4.98841  -4.988408017645444  0.625
2  -4.95364  -4.953635229365023  0.625
3  -4.89569  -4.895690299038138  0.625
1  -4.98841  -4.988408019155759  0.5
2  -4.95364  -4.953635325800026  0.5
3  -4.89569  -4.8956913932517425  0.5
1  -4.98841  -4.988408019698385  0.41666666666666663
2  -4.95364  -4.953635360470818  0.41666666666666663
3  -4.89569  -4.895691787093275  0.41666666666666663
1  -4.98841  -4.988408019931024  0.3571428571428571
2  -4.95364  -4.953635375340943  0.3571428571428571
3  -4.89569  -4.8956919561174175  0.3571428571428571
1  -4.98841  -4.988408020043947  0.3125
2  -4.95364  -4.95363538256041  0.3125
3  -4.89569  -4.895692038211241  0.3125
1  -4.98841  -4.988408020104039  0.2777777777777778
2  -4.95364  -4.953635386403363  0.2777777777777778
3  -4.89569  -4.895692081921625  0.2777777777777778
1  -4.98841  -4.988408020138386  0.25
2  -4.95364  -4.95363538859973  0.25
3  -4.89569  -4.895692106907967  0.25
1  -4.98841  -4.988408020159155  0.2272727272727273
2  -4.95364  -4.953635389928132  0.2272727272727273
3  -4.89569  -4.89569212202216  0.2272727272727273
1  -4.98841  -4.988408020172305  0.20833333333333331
2  -4.95364  -4.953635390769526  0.20833333333333331
3  -4.89569  -4.895692131596289  0.20833333333333331
1  -4.98841  -4.9884080201809615  0.19230769230769232
2  -4.95364  -4.953635391323299  0.19230769230769232
3  -4.89569  -4.89569213789812  0.19230769230769232
1  -4.98841  -4.988408020186841  0.17857142857142855
2  -4.95364  -4.953635391699776  0.17857142857142855
3  -4.89569  -4.895692142182601  0.17857142857142855
1  -4.98841  -4.98840802019097  0.16666666666666666
2  -4.95364  -4.953635391962932  0.16666666666666666
3  -4.89569  -4.895692145177414  0.16666666666666666
